,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.currentPM,Answer.ndaPercent,Answer.ndp.ndp,Answer.ndp2.ndp2,Answer.no.dno,Answer.other.other,Answer.other2.other2,Answer.otherPercent,Answer.otherVote,Answer.otherWin,Answer.problems,Answer.stateSelect,Answer.upa.incp,Answer.upa2.incp2,Answer.upaPercent,Answer.voteConfidence,Answer.yes.dyes,Answer.yes.notsure,Answer.yes.pno,Answer.yes.pyes,Approve,Reject
0,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,31LM9EDVOMIXEOKMB25YCKQ0KVBJNL,A24P5G9S1HKG9M,Submitted,Tue Apr 09 13:39:53 PDT 2019,Tue Apr 09 13:41:36 PDT 2019,Fri Apr 12 13:41:36 PDT 2019,,,,103,0% (0/0),0% (0/0),0% (0/0),narendra modi,40,False,False,False,True,True,30,NOTA,NOTA,na,12,False,False,34,56,False,False,False,True,,
1,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,32UTUBMZ7HM44AVJP1E8OD10YT0BV5,A171SF2UF7YUN4,Submitted,Tue Apr 09 13:28:10 PDT 2019,Tue Apr 09 13:40:14 PDT 2019,Fri Apr 12 13:40:14 PDT 2019,,,,724,0% (0/0),0% (0/0),0% (0/0),narendira modi,33,False,False,False,False,False,30,,,no,24,True,True,82,80,True,False,False,False,,
2,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,33L7PJKHCHO6PKTNHUUJWTNET2W8TK,A38MCQMAUI9DJL,Submitted,Tue Apr 09 13:19:52 PDT 2019,Tue Apr 09 13:22:15 PDT 2019,Fri Apr 12 13:22:15 PDT 2019,,,,143,0% (0/0),0% (0/0),0% (0/0),mr modi,41,False,False,False,True,False,51,no comment,,no comment,14,False,True,44,1,True,False,False,False,,
3,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,34BBWHLWHB1R679ULLBLW2OR0SJWI6,A2E1Q8YL50CMD0,Submitted,Tue Apr 09 13:20:55 PDT 2019,Tue Apr 09 13:23:28 PDT 2019,Fri Apr 12 13:23:28 PDT 2019,,,,153,0% (0/0),0% (0/0),0% (0/0),narendra modi,7,False,False,False,False,False,30,,,No,24,True,True,84,100,True,False,False,False,,
4,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,3907X2AHF1VXBDYRKWCYHS9EIZL2P8,A3FPX5HIFBDJYX,Submitted,Tue Apr 09 13:24:55 PDT 2019,Tue Apr 09 13:26:06 PDT 2019,Fri Apr 12 13:26:06 PDT 2019,,,,71,0% (0/0),0% (0/0),0% (0/0),narendra modi,13,False,False,False,False,False,8,,,no,13,True,True,84,63,True,False,False,False,,
5,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,3C44YUNSI2FKENW7HLWFDB0IFQFPD9,A3PSIT0A7OU2FL,Submitted,Tue Apr 09 13:40:14 PDT 2019,Tue Apr 09 13:42:55 PDT 2019,Fri Apr 12 13:42:55 PDT 2019,,,,161,100% (1/1),100% (1/1),100% (1/1),modi,100,True,True,False,False,False,35,,,,24,False,False,37,81,True,False,False,False,,
6,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,3GU1KF0O4JRRZQYN3P59ILCIC5WBPH,A1EN9IMH5K6QQ6,Submitted,Tue Apr 09 13:20:43 PDT 2019,Tue Apr 09 13:23:28 PDT 2019,Fri Apr 12 13:23:28 PDT 2019,,,,165,0% (0/0),0% (0/0),0% (0/0),narendra modi,82,False,False,False,False,False,63,,,GOOD,24,True,True,66,77,True,False,False,False,,
7,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,3HFNH7HEMI48QJ7DJOCCJ1TPXEBGQV,A1QXU4Q3CK75FK,Submitted,Tue Apr 09 13:22:40 PDT 2019,Tue Apr 09 13:23:55 PDT 2019,Fri Apr 12 13:23:55 PDT 2019,,,,75,0% (0/0),0% (0/0),0% (0/0),narendra modi,66,True,True,False,False,False,65,,,,24,False,False,51,68,True,False,False,True,,
8,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,3KWTYT0871TZJP2GANLPYI36XZ95LC,A2KZVP4SEEUJYL,Submitted,Tue Apr 09 13:21:15 PDT 2019,Tue Apr 09 13:23:02 PDT 2019,Fri Apr 12 13:23:02 PDT 2019,,,,107,0% (0/0),0% (0/0),0% (0/0),narendra modi,22,False,False,False,False,False,6,,,no,13,True,True,82,90,True,False,False,False,,
9,31MCUE39BKCDXY3HVBVFI95SYPRG3R,3DCAAKVOXC5SOSCT34N3AYUKRLVFYF,What are your beliefs about the upcoming general election in India?,Please answer honestly and to the best of your awareness about the upcoming election in India,"survey, election, voting, India, poll",$0.10 ,Tue Apr 09 13:19:09 PDT 2019,100,BatchId:3600867;OriginalHitTemplateId:928390912;,3600,259200,Tue Apr 16 13:19:09 PDT 2019,,,3R2UR8A0IB6GRTPNTLKCIIYKL3VXO2,AWZNJH4KB3QOH,Submitted,Tue Apr 09 13:40:42 PDT 2019,Tue Apr 09 13:42:38 PDT 2019,Fri Apr 12 13:42:38 PDT 2019,,,,116,0% (0/0),0% (0/0),0% (0/0),narendra modi,24,False,False,False,False,False,6,,,,24,True,True,71,71,False,False,False,True,,
